Date,Region,City,Salesperson,Product_Category,Product,Units_Sold,Unit_Price,Revenue,Conversion_Rate
2024-01-01,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-01-02,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-01-03,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-01-04,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-01-05,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-01-06,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-01-07,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-01-08,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-01-09,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-01-10,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-01-11,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-01-12,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-01-13,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-01-14,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-01-15,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-01-16,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-01-17,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-01-18,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-01-19,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-01-20,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-01-21,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-01-22,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-01-23,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-01-24,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-01-25,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-01-26,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-01-27,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-01-28,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-01-29,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
